ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
acteur,akt2R,acteur,NOM,s,74.77,1,ak-t2R,VC-CVC,4.31441807244573
moitié,mwatje,moitié,NOM,s,74.77,1,mwa-tje,CYV-CYV,4.31441807244573
marché,maRSe,marché,NOM,s,74.36,1,maR-Se,CVC-CV,4.308919507661376
mademoiselle,mad°mwazel,mademoiselle,NOM,s,73.98,1,ma-d°-mwa-zel,CV-CV-CYV-CVC,4.303796138120075
adresse,adRes,adresse,NOM,s,73.92,1,a-dRes,V-CCVC,4.3029847801463665
cousin,kuz1,cousin,NOM,s,73.87,1,ku-z1,CV-CV,4.302308145269255
compagnie,k§paNi,compagnie,NOM,s,73.78,1,k§-pa-Ni,CV-CV-CV,4.301089047548473
chaussure,SosyR,chaussure,NOM,s,73.58,1,So-syR,CV-CVC,4.2983746087406685
oreille,oRej,oreille,NOM,s,73.54,1,o-Rej,V-CVY,4.29783083567639
super,sypeR,super,NOM,s,73.26,1,sy-peR,CV-CVC,4.294016122351102
grand-mère,gR@meR,grand-mère,NOM,s,73.22,1,gR@-meR,CCV-CVC,4.293469973438222
blague,blag,blague,NOM,s,72.63,1,blag,CCVC,4.285379436458655
avenir,av°niR,avenir,NOM,s,72.61,1,a-v°-niR,V-CV-CVC,4.285104030611976
beauté,bote,beauté,NOM,s,72.56,1,bo-te,CV-CV,4.284415183975722
laisse,les,laisse,NOM,s,72.53,1,les,CVC,4.284001648114202
course,kuRs,course,NOM,s,72.48,1,kuRs,CVCC,4.283312041424722
manière,manjeR,manière,NOM,s,72.31,1,ma-njeR,CV-CYVC,4.280963815120492
expérience,ekspeRj@s,expérience,NOM,s,72.04,1,ek-spe-Rj@s,VC-CCV-CYVC,4.277222908424505
soin,sw1,soin,NOM,s,71.99,1,sw1,CYV,4.276528609562064
cour,kuR,cour,NOM,s,71.8,1,kuR,CVC,4.2738858688108685
gauche,goS,gauche,NOM,s,71.78,1,goS,CVC,4.273607278864214
liste,list,liste,NOM,s,71.56,1,list,CVCC,4.2705376560682735
courage,kuRaZ,courage,NOM,s,70.73,1,ku-RaZ,CV-CVC,4.258871224874129
milieu,milj2,milieu,NOM,s,70.27,1,mi-lj2,CV-CYV,4.25234638828549
contact,k§takt,contact,NOM,s,69.85,1,k§-takt,CV-CVCC,4.246351517341173
inspecteur,1spekt2R,inspecteur,NOM,s,69.77,1,1s-pek-t2R,VC-CVC-CVC,4.245205551230898
projet,pRoZe,projet,NOM,s,69.59,1,pRo-Ze,CCV-CV,4.242622315843799
