parameter_name,parameter_value,error,metric,ID
gamma,0.5153835949075847,927.6476484768307,levenshtein,9
delta,0.17175490049082712,927.6476484768307,levenshtein,9
overlap,0.34992438167627626,927.6476484768307,levenshtein,9
sigma,0.4665374675355979,927.6476484768307,levenshtein,9
tau,1.1441526974699847,927.6476484768307,levenshtein,9
b,2.2005096103793487,927.6476484768307,levenshtein,9
base,3.904909422403713e-7,927.6476484768307,levenshtein,9
theta,1.1661601255569212,927.6476484768307,levenshtein,9
sim_ELI,0.34445570132180736,927.6476484768307,levenshtein,9
alpha,5.999395071656092,616.356473588993,levenshtein,10
gamma,0.46959244031110814,616.356473588993,levenshtein,10
delta,0.26613719399410934,616.356473588993,levenshtein,10
overlap,0.27610959385326334,616.356473588993,levenshtein,10
sigma,0.23885202329126204,616.356473588993,levenshtein,10
tau,0.6396310764391403,616.356473588993,levenshtein,10
b,2.1524786164411576,616.356473588993,levenshtein,10
base,0.7644934480526859,616.356473588993,levenshtein,10
theta,1.997834776042103,616.356473588993,levenshtein,10
sim_ELI,0.6069642076160555,616.356473588993,levenshtein,10
alpha,3.3779610409236387,265.84346278922465,levenshtein,11
gamma,0.12590048170728685,265.84346278922465,levenshtein,11
delta,0.001000000058061486,265.84346278922465,levenshtein,11
overlap,0.34158778172340226,265.84346278922465,levenshtein,11
sigma,0.5884305996960913,265.84346278922465,levenshtein,11
tau,9.995096496056911,265.84346278922465,levenshtein,11
b,6.248756372738914,265.84346278922465,levenshtein,11
base,7.673096331220107e-11,265.84346278922465,levenshtein,11
theta,1.999999998900216,265.84346278922465,levenshtein,11
sim_ELI,0.3299778649582077,265.84346278922465,levenshtein,11
alpha,5.999760856824609,587.8508896573654,levenshtein,12
gamma,0.5171410077964467,587.8508896573654,levenshtein,12
delta,0.17539902778097022,587.8508896573654,levenshtein,12
overlap,0.26461477628116414,587.8508896573654,levenshtein,12
sigma,0.3138344307986225,587.8508896573654,levenshtein,12
tau,0.40369205410812936,587.8508896573654,levenshtein,12
b,2.7722961845231993,587.8508896573654,levenshtein,12
base,0.018944473965392956,587.8508896573654,levenshtein,12
theta,1.0975635346998724,587.8508896573654,levenshtein,12
sim_ELI,0.3851855929650293,587.8508896573654,levenshtein,12
alpha,1.3330159344646253,414.675686146152,levenshtein,13
gamma,0.4442134014405179,414.675686146152,levenshtein,13
delta,0.0010000000000110322,414.675686146152,levenshtein,13
overlap,0.123991434233689,414.675686146152,levenshtein,13
sigma,0.37349814266880815,414.675686146152,levenshtein,13
tau,9.996498854680715,414.675686146152,levenshtein,13
b,2.5913626251327417,414.675686146152,levenshtein,13
base,1.4196815391632385,414.675686146152,levenshtein,13
theta,1.999999999999997,414.675686146152,levenshtein,13
sim_ELI,0.9492717983605269,414.675686146152,levenshtein,13
alpha,1.6741847635728007,697.8103864883612,levenshtein,14
gamma,0.1761923222200965,697.8103864883612,levenshtein,14
delta,0.040282821548957855,697.8103864883612,levenshtein,14
overlap,0.355471542432537,697.8103864883612,levenshtein,14
sigma,0.3814492170948787,697.8103864883612,levenshtein,14
tau,1.2237345109474642,697.8103864883612,levenshtein,14
b,2.049813806434762,697.8103864883612,levenshtein,14
base,4.915886487739311e-6,697.8103864883612,levenshtein,14
theta,1.9958035835017383,697.8103864883612,levenshtein,14
sim_ELI,0.41828048727973144,697.8103864883612,levenshtein,14
alpha,5.999282147830817,858.9042806800593,levenshtein,15
gamma,0.4817229455886279,858.9042806800593,levenshtein,15
delta,0.11244297373264486,858.9042806800593,levenshtein,15
overlap,0.25819583262370144,858.9042806800593,levenshtein,15
sigma,0.8073885707222389,858.9042806800593,levenshtein,15
tau,2.582378035259547,858.9042806800593,levenshtein,15
b,3.1893389890551274,858.9042806800593,levenshtein,15
base,0.2747295340704609,858.9042806800593,levenshtein,15
theta,1.9998791486478293,858.9042806800593,levenshtein,15
sim_ELI,0.40738960459415796,858.9042806800593,levenshtein,15
alpha,5.999230567597258,683.762810396362,levenshtein,16
gamma,0.4868667222952255,683.762810396362,levenshtein,16
delta,0.238486364702487,683.762810396362,levenshtein,16
overlap,0.23391517746325693,683.762810396362,levenshtein,16
sigma,0.3755061022763773,683.762810396362,levenshtein,16
tau,0.6931039143659552,683.762810396362,levenshtein,16
